ID,timestamp,Blink Rate,Yawning Rate,PERCLOS,SDLP,Lane Keeping Ratio,Lane Departure Frequency,Steering Entropy,SRR,SAV,fatigue_camera_level,fatigue_steering_level,fatigue_lane_level,fan,music,vibration,reason
1,2025-06-27 12:46:14.059432,0.5167,0.0,0.085,0.3523,1.0,0.0,2.675,0.1833,0.0388,Moderate,Moderate,Low,level 2,beep,off,Driver condition degrades gradually. Steering entropy and blink rate are moderately elevated. Activate Beep signal and fan to alert Driver.
2,2025-06-27 12:46:57.659447,0.4833,0.0,0.0833,0.35,1.0,0.0,2.4369,0.2833,0.0648,Low,Low,Low,off,off,off,Driver maintains optimal lane performance with lane keeping ratio 1.0. No intervention needed.
3,2025-06-27 12:47:38.659969,0.4667,0.0,0.0633,0.5668,0.9766,0.2333,2.516,0.2833,0.1198,Low,Low,Moderate,off,off,off,Blink rate (0.4667) and PERCLOS (0.0633) indicate high alertness. No action is required at this time.
4,2025-06-27 12:48:20.459213,0.4167,0.0,0.0508,0.5347,0.9833,0.1667,2.1361,0.45,0.0706,Low,Low,Moderate,off,off,off,Visual and Steering inputs are steady. Steering entropy is low at 2.1361. No action needed.
5,2025-06-27 12:49:00.559232,0.4333,0.0,0.0508,0.622,0.9717,0.2833,2.7508,0.45,0.0252,Low,Low,High,off,off,off,Blink rate (0.4333) and PERCLOS (0.0508) indicate high alertness. No action is required at this time.
6,2025-06-27 12:49:43.159742,0.4667,0.0,0.0508,0.4948,0.9767,0.2333,2.0036,0.4167,0.0593,Low,Low,Moderate,off,off,off,Driver maintains optimal lane performance with lane keeping ratio 0.9767. No intervention needed.
"7,2025-06-27 12:50:28.559395,0.5667,0.0,0.0617,0.2488,1.0,0.0,2.0123,0.45,0.0624,Moderate,Low,Low,level 2,off,off,""Camera shows moderate visual fatigue — blink rate at 0.5667, though steering is stable. Fan level 2 recommended."""
8,2025-06-27 12:51:22.559933,0.5167,0.0,0.055,0.3009,1.0,0.0,2.5794,0.4333,0.0291,Low,Low,Low,off,off,off,No yawns detected and blink rate (0.5167) is well-controlled. No intervention necessary.
"9,2025-06-27 12:52:02.659551,0.5,0.0,0.0633,0.3429,1.0,0.0,2.8792,0.3333,0.028,Moderate,Low,Low,level 2,off,off,""Camera shows moderate visual fatigue — blink rate at 0.5, though steering is stable. Fan level 2 recommended."""
10,2025-06-27 12:52:42.959749,0.4333,0.0,0.0533,0.3424,1.0,0.0,2.2513,0.2833,0.0536,Low,Low,Low,off,off,off,No yawns detected and blink rate (0.4333) is well-controlled. No intervention necessary.
11,2025-06-27 12:53:26.559796,0.55,0.0,0.0617,0.6038,0.9717,0.2833,2.505,0.2167,0.0483,Moderate,Low,High,level 2,off,off,Fatigue signs limited to visual domain. Yawning rate (0.0) suggests light drowsiness. Recommended to tun on fan to level 2.
12,2025-06-27 12:59:21.859313,0.5667,0.0,0.07,0.4119,1.0,0.0,2.9297,0.35,0.0229,Moderate,Low,Moderate,level 2,off,off,Yawning (0.0) present with clear eyes — fan should help counter alertness dip. Regulating fan speed to level 2.
13,2025-06-27 13:00:01.959631,0.5833,0.0,0.0625,0.3568,1.0,0.0,2.8498,0.35,0.021,Moderate,Low,Low,level 2,off,off,Visual strain increasing (PERCLOS 0.0625) but motor control intact. Increased airflow recommended. Turn on fan to level 2
14,2025-06-27 13:00:41.959614,0.5667,0.0,0.0667,0.3401,1.0,0.0,2.527,0.2333,0.0272,Moderate,Low,Low,level 2,off,off,Visual strain increasing (PERCLOS 0.0667) but motor control intact. Increased airflow recommended. Turn on fan to level 2
"15,2025-06-27 13:01:21.959634,0.6167,0.0,0.075,0.3824,1.0,0.0,2.4001,0.3167,0.0263,Moderate,Low,Moderate,level 2,off,off,""Camera shows moderate visual fatigue — blink rate at 0.6167, though steering is stable. Fan level 2 recommended."""
16,2025-06-27 13:02:02.860120,0.6,0.0,0.0758,0.3752,1.0,0.0,2.623,0.35,0.0243,Moderate,Low,Moderate,level 2,off,off,Yawning (0.0) present with clear eyes — fan should help counter alertness dip. Regulating fan speed to level 2.
17,2025-06-27 13:06:22.159616,0.6833,0.0,0.1017,0.3965,1.0,0.0,2.7889,0.5,0.025,Moderate,Moderate,Moderate,level 2,beep,off,Driver condition degrades gradually. Steering entropy and blink rate are moderately elevated. Activate Beep signal and fan to alert Driver.
18,2025-06-27 13:07:02.160077,0.5833,0.0,0.0883,0.558,1.0,0.0,2.877,0.4333,0.0267,Moderate,Low,Moderate,level 2,off,off,Yawning (0.0) present with clear eyes — fan should help counter alertness dip. Regulating fan speed to level 2.
19,2025-06-27 13:07:42.159487,0.6833,0.0,0.1358,0.6371,0.9867,0.1333,2.8515,0.4667,0.0294,Low,Low,Moderate,off,off,off,No yawns detected and blink rate (0.6833) is well-controlled. No intervention necessary.
20,2025-06-27 13:08:22.159297,0.6333,0.0,0.1167,0.8693,0.92,0.8,2.414,0.5333,0.0797,Low,Low,High,off,off,off,No yawns detected and blink rate (0.6333) is well-controlled. No intervention necessary.
21,2025-06-27 13:09:04.159664,0.6333,0.0,0.1092,0.8854,0.915,0.85,2.5481,0.5833,0.0534,Moderate,Low,High,level 2,off,off,Fatigue signs limited to visual domain. Yawning rate (0.0) suggests light drowsiness. Recommended to tun on fan to level 2.
22,2025-06-27 13:13:43.459309,1.2,0.0,0.22,0.9298,0.9383,0.6167,2.5351,0.6,0.0396,High,Low,High,level 3,beep,off,Vision-based fatigue severe. Lane control intact. Engage level 3 fan and beep for non-disruptive sensory stimulation..
"23,2025-06-27 13:14:23.759379,1.2667,0.0,0.2008,0.7479,0.9682,0.3167,2.5386,0.6,0.058,High,Low,High,level 3,beep,off,""Yawning (0.0) and blink rate up, though entropy is low. Use fan and beep to maintain awareness."""
24,2025-06-27 13:15:04.459525,1.2667,0.0,0.2,0.7981,0.9666,0.3333,2.4793,0.5333,0.0565,High,Low,High,level 3,beep,off,Vision-based fatigue severe. Lane control intact. Engage level 3 fan and beep for non-disruptive sensory stimulation..
"25,2025-06-27 13:15:45.259308,1.1833,0.0,0.1825,0.7297,0.9717,0.2833,2.9033,0.3,0.0474,High,High,High,level 3,beep,Vibrate,""Driver condition hazardous. All fatigue signals peak. Emergency feedback required. Beep, vibration, and high airflow engaged to regain focus."""
"26,2025-06-27 13:16:27.459168,1.0833,0.0,0.1625,0.7016,0.9617,0.3833,2.8501,0.6167,0.0428,High,High,High,level 3,beep,Vibrate,""Critical fatigue across systems. PERCLOS (0.1625) and SDLP (0.7016) extremely high. Immediate full intervention with fan, beep, and vibration required"""
27,2025-06-27 13:20:03.859608,0.9333,0.0,0.1092,0.9563,0.903,0.9667,2.6075,0.6333,0.0335,Low,Moderate,High,off,beep,off,Moderate lane deviation (SDLP 0.9563) with low blink rate (0.9333) indicates emerging drowsiness. Beep sound may help.
28,2025-06-27 13:20:46.359358,0.9,0.0,0.0942,0.9289,0.898,1.0167,2.5255,0.55,0.0455,Low,Low,High,off,off,off,Visual and Steering inputs are steady. Steering entropy is low at 2.5255. No action needed.
29,2025-06-27 13:21:28.259658,0.8167,0.0,0.09,0.6629,0.97,0.3,2.6225,0.5667,0.0318,Low,Moderate,High,off,beep,off,Moderate lane deviation (SDLP 0.6629) with low blink rate (0.8167) indicates emerging drowsiness. Beep sound may help.
30,2025-06-27 13:22:08.759426,0.7167,0.0,0.0708,0.6011,0.9833,0.1667,2.9877,0.6667,0.0271,Moderate,Low,Moderate,level 2,off,off,Fatigue signs limited to visual domain. Yawning rate (0.0) suggests light drowsiness. Recommended to tun on fan to level 2.
31,2025-06-27 13:22:49.159356,0.65,0.0,0.0725,0.7295,0.9682,0.3167,2.8811,0.6333,0.0292,Moderate,Low,High,level 2,off,off,Visual strain increasing (PERCLOS 0.0725) but motor control intact. Increased airflow recommended. Turn on fan to level 2
32,2025-06-30 06:56:48.976972,0.0833,0.0,0.0117,0.4565,0.9867,0.1333,2.6345,0.7167,0.0343,Low,Moderate,Moderate,off,beep,off,Moderate lane deviation (SDLP 0.4565) with low blink rate (0.0833) indicates emerging drowsiness. Beep sound may help.
33,2025-06-30 06:57:29.477305,0.0833,0.0,0.005,0.4324,0.985,0.15,2.5689,0.7,0.0366,Low,Moderate,Moderate,off,beep,off,Moderate lane deviation (SDLP 0.4324) with low blink rate (0.0833) indicates emerging drowsiness. Beep sound may help.
"34,2025-06-30 06:58:15.777238,0.0833,0.0,0.0058,0.4417,0.9867,0.1333,2.7136,0.75,0.0381,Low,Moderate,Moderate,off,beep,off,""Camera shows visual focus, but control metrics like entropy (2.7136) signal early fatigue. Beep signal activated."""
"35,2025-06-30 06:59:03.877353,0.15,0.0,0.01,0.3874,0.995,0.05,2.6563,0.75,0.0391,Low,Moderate,Moderate,off,beep,off,""Blink rate (0.15) is fine, but driver shows reduced lane handling at 0.995. Alert driver through sound cues."""
36,2025-06-30 07:03:15.377650,0.0833,0.0,0.005,0.3152,1.0,0.0,2.8272,0.7,0.0338,Low,Moderate,Low,off,beep,off,Fatigue visible in lane stability. SDLP at 0.3152 requires sound alert warning signal to maintain focus.
"37,2025-06-30 07:03:55.377973,0.0833,0.0,0.0058,0.2778,1.0,0.0,2.7491,0.7833,0.0359,Low,Moderate,Low,off,beep,off,""Camera shows visual focus, but control metrics like entropy (2.7491) signal early fatigue. Beep signal activated."""
38,2025-06-30 07:04:35.377471,0.1,0.0,0.0067,0.2988,1.0,0.0,2.6881,0.6167,0.0353,Low,Moderate,Low,off,beep,off,Moderate lane deviation (SDLP 0.2988) with low blink rate (0.1) indicates emerging drowsiness. Beep sound may help.
39,2025-06-30 07:05:15.377109,0.0833,0.0,0.0067,0.2824,1.0,0.0,2.4405,0.6,0.0351,Low,Moderate,Low,off,beep,off,Fatigue visible in lane stability. SDLP at 0.2824 requires sound alert warning signal to maintain focus.
40,2025-06-30 07:05:55.877085,0.0833,0.0,0.0067,0.3594,1.0,0.0,2.7864,0.6167,0.0365,Low,Moderate,Low,off,beep,off,Fatigue visible in lane stability. SDLP at 0.3594 requires sound alert warning signal to maintain focus.
41,2025-06-30 07:09:09.777054,0.7833,0.0,0.0783,0.3664,1.0,0.0,2.8803,0.55,0.0355,Moderate,Moderate,Low,level 2,beep,off,All systems show moderate stress. Lane departure at 0.0 and yawning confirmed. Alert driver with sound cues and Fan level 2.
42,2025-06-30 07:09:49.977171,0.8167,0.0167,0.0825,0.3787,1.0,0.0,2.7315,0.3833,0.0352,Moderate,Moderate,Moderate,level 2,beep,off,Yawning rate at 0.0167 and entropy at 2.7315 call for moderate multimodal cueing. Combination of fan level 2 and Beep alert recommended.
43,2025-06-30 07:10:30.877327,0.7333,0.0167,0.0725,0.44,0.9933,0.0667,2.9426,0.55,0.0334,Moderate,Low,Moderate,level 2,off,off,Moderate blink rate paired with consistent lane control. Visual-only fatigue signs. Turning on fan to level 2 for alartness.
"44,2025-06-30 07:11:10.978115,0.7333,0.0167,0.0692,0.4802,0.9883,0.1167,2.9759,0.7833,0.0349,Moderate,High,Moderate,level 3,beep,Vibrate,""Visual and control fatigue intensifying. Blink rate at 0.7333, lane deviation rising. Activate level 3 fan, beep sound, and vibration for enhanced alertness"""
45,2025-06-30 07:11:51.577719,0.9,0.0,0.075,0.4538,0.995,0.05,2.9994,0.7,0.0362,Low,Moderate,Moderate,off,beep,off,Moderate lane deviation (SDLP 0.4538) with low blink rate (0.9) indicates emerging drowsiness. Beep sound may help.
"46,2025-06-30 07:20:15.177467,1.2167,0.0333,0.1867,0.6304,0.9717,0.2833,2.9188,0.8667,0.0391,High,High,High,level 3,beep,Vibrate,"" PERCLOS (0.1867) and Blink rate (1.2167) in critical zone Entropy also at (2.9188). Beep Alert along, steering vibration, and high airflow required to regain focus."""
"47,2025-06-30 07:20:55.177484,1.1833,0.0333,0.1708,0.6345,0.9733,0.2667,2.8214,1.15,0.0397,High,High,High,level 3,beep,Vibrate,""Visual and Lane fatigue are critical. SDLP at 0.6345, yawning at 0.0333. All systems need immediate intervention: fan, beep, and vibration."""
"48,2025-06-30 07:21:35.178315,1.2167,0.0333,0.1875,0.5151,0.9967,0.0333,2.8345,0.8667,0.0392,High,High,Moderate,level 3,beep,Vibrate,""Total alertness failure detected. Blink rate (1.2167) and steering entropy demand immediate action. Engage fan at full speed, sound, and vibration urgently."""
"49,2025-06-30 07:22:15.177961,1.1833,0.0333,0.1817,0.4833,0.9767,0.2333,2.5939,0.8167,0.0348,High,Moderate,Moderate,level 3,beep,Vibrate,""Visual and steering fatigue progressing. Yawning and entropy are also both high. Activate level 3 fan, auditory beep, and steering vibration to counteract drowsiness"""
"50,2025-06-30 07:22:55.177536,1.1,0.0333,0.1817,0.5628,0.975,0.25,2.5581,0.7333,0.0365,High,Moderate,Low,level 3,beep,Vibrate,""Visual and steering fatigue progressing. Yawning and entropy are also both high. Activate level 3 fan, auditory beep, and steering vibration to counteract drowsiness"""
"51,2025-06-30 07:23:35.177118,1.05,0.0167,0.1675,0.5974,0.985,0.15,2.7551,0.9167,0.0391,High,Moderate,Moderate,level 3,beep,Vibrate,""Multisystem fatigue: yawning rate is 0.0167, lane handling weak. Trigger fan level 3 along with beep alert and vibration."""
"52,2025-06-30 07:30:43.177284,0.5,0.0167,0.0367,0.3055,1.0,0.0,2.8723,0.8333,0.0365,Moderate,High,Low,level 3,beep,Vibrate,""Sensor metrics point to progressing fatigue. High LDF (0.0) and PERCLOS (0.0367). Issue strong feedback: airflow, sound, and steering vibration."""
53,2025-06-30 07:31:23.476946,0.4667,0.0167,0.0342,0.2676,1.0,0.0,2.8002,0.9333,0.0364,Low,Moderate,Low,off,beep,off,Moderate lane deviation (SDLP 0.2676) with low blink rate (0.4667) indicates emerging drowsiness. Beep sound may help.
"54,2025-06-30 07:32:03.577410,0.3833,0.0333,0.0275,0.2758,1.0,0.0,2.88,0.8167,0.0374,Low,High,Low,level 2,beep,Vibrate,""Despite a stable blink rate, lane keeping ratio is low (1.0). Activate fan level2 and steering vibration."""
"55,2025-06-30 07:32:43.784931,0.3833,0.0167,0.0258,0.373,1.0,0.0,2.6668,0.7833,0.0358,Low,Moderate,Low,off,beep,off,""Blink rate (0.3833) is fine, but driver shows reduced lane handling at 1.0. Alert driver through sound cues."""
56,2025-06-30 07:33:24.789227,0.4,0.0167,0.0258,0.3484,1.0,0.0,2.799,0.8333,0.0361,Low,Moderate,Low,off,beep,off,Moderate lane deviation (SDLP 0.3484) with low blink rate (0.4) indicates emerging drowsiness. Beep sound may help.
57,2025-06-30 07:36:13.577407,0.8,0.0667,0.1842,0.4417,1.0,0.0,2.93,0.75,0.0347,High,Low,Moderate,level 3,beep,off,Vision-based fatigue severe. Lane control intact. Engage level 3 fan and beep for non-disruptive sensory stimulation..
"58,2025-06-30 07:36:54.376983,0.9167,0.0667,0.2283,0.4618,1.0,0.0,2.9044,0.9,0.036,High,High,Moderate,level 3,beep,Vibrate,""Critical fatigue across systems. PERCLOS (0.2283) and SDLP (0.4618) extremely high. Immediate full intervention with fan, beep, and vibration required"""
"59,2025-06-30 07:37:34.577474,0.8,0.0667,0.1683,0.4873,1.0,0.0,2.639,0.9333,0.0368,High,Moderate,Moderate,level 3,beep,Vibrate,""Visual and steering fatigue progressing. Yawning and entropy are also both high. Activate level 3 fan, auditory beep, and steering vibration to counteract drowsiness"""
"60,2025-06-30 07:38:15.376952,0.8667,0.05,0.2033,0.4986,1.0,0.0,2.7593,0.8,0.0377,High,Moderate,Moderate,level 3,beep,Vibrate,""Driver responsiveness drops — lane departure frequency at 0.0, control waning. Full alert protocol should be triggered: fan level 3, beep sound, and vibration."""
"61,2025-06-30 07:38:58.177292,0.7333,0.05,0.1525,0.486,0.9967,0.0333,2.92,0.75,0.0368,High,Moderate,Moderate,level 3,beep,Vibrate,""High blink rate and entropy (2.92) reduce control. Full feedback required. Initiate full intervention: strong airflow, audio beep, and steering vibration."""
